🔍 Scanning for power monitoring interfaces...
   🌡️  Found thermal zone: thermal_zone0
   💻 Added CPU monitoring
📊 Logging system power data to /home/pi/system_power_log.csv
🖥️  Monitoring CPU, memory, temperature, and available power metrics
⚠️  Watching for high CPU, temperature, and system load issues
Press Ctrl+C to stop logging
✅ 2025-07-21T17:20:34.215136: CPU 0%, Temp 44.6°C, Load 1.4, V:N/A, P:N/A
✅ 2025-07-21T17:20:39.216061: CPU 17%, Temp 45.2°C, Load 1.3, V:N/A, P:N/A
✅ 2025-07-21T17:20:44.217149: CPU 10%, Temp 44.6°C, Load 1.4, V:N/A, P:N/A
✅ 2025-07-21T17:20:49.218183: CPU 8%, Temp 44.6°C, Load 1.4, V:N/A, P:N/A
✅ 2025-07-21T17:20:54.219103: CPU 2%, Temp 45.2°C, Load 1.2, V:N/A, P:N/A
✅ 2025-07-21T17:20:59.220013: CPU 1%, Temp 46.3°C, Load 1.2, V:N/A, P:N/A
✅ 2025-07-21T17:21:04.220922: CPU 11%, Temp 45.8°C, Load 1.2, V:N/A, P:N/A
✅ 2025-07-21T17:21:09.221870: CPU 11%, Temp 45.2°C, Load 1.4, V:N/A, P:N/A
✅ 2025-07-21T17:21:14.222846: CPU 1%, Temp 45.2°C, Load 1.3, V:N/A, P:N/A
✅ 2025-07-21T17:21:19.223877: CPU 1%, Temp 44.6°C, Load 1.2, V:N/A, P:N/A
✅ 2025-07-21T17:21:24.224767: CPU 1%, Temp 45.8°C, Load 1.2, V:N/A, P:N/A
⚠️ 2025-07-21T17:21:29.225712: CPU 14%, Temp 44.6°C, Load 1.5, V:N/A, P:N/A
⚠️ 2025-07-21T17:21:34.226707: CPU 12%, Temp 44.1°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:21:39.227616: CPU 1%, Temp 44.1°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:21:44.228568: CPU 1%, Temp 44.6°C, Load 1.5, V:N/A, P:N/A
✅ 2025-07-21T17:21:49.229505: CPU 3%, Temp 44.1°C, Load 1.5, V:N/A, P:N/A
✅ 2025-07-21T17:21:54.230429: CPU 2%, Temp 44.1°C, Load 1.4, V:N/A, P:N/A
⚠️ 2025-07-21T17:21:59.231935: CPU 6%, Temp 43.0°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:22:04.232829: CPU 21%, Temp 44.1°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:22:09.233795: CPU 16%, Temp 44.6°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:22:14.234869: CPU 8%, Temp 44.1°C, Load 1.5, V:N/A, P:N/A
⚠️ 2025-07-21T17:22:19.235817: CPU 33%, Temp 43.5°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:22:24.236843: CPU 29%, Temp 46.3°C, Load 1.5, V:N/A, P:N/A
✅ 2025-07-21T17:22:29.237903: CPU 23%, Temp 46.3°C, Load 1.5, V:N/A, P:N/A
⚠️ 2025-07-21T17:22:34.238878: CPU 26%, Temp 45.8°C, Load 1.5, V:N/A, P:N/A
⚠️ 2025-07-21T17:22:39.239915: CPU 23%, Temp 44.6°C, Load 1.5, V:N/A, P:N/A
⚠️ 2025-07-21T17:22:44.240896: CPU 25%, Temp 44.6°C, Load 1.6, V:N/A, P:N/A
🚨 2025-07-21T17:22:49.241961: CPU 24%, Temp 45.8°C, Load 2.0, V:N/A, P:N/A
   🚨 ALERTS: HIGH_LOAD_2.0
⚠️ 2025-07-21T17:22:54.242964: CPU 24%, Temp 45.2°C, Load 1.9, V:N/A, P:N/A
⚠️ 2025-07-21T17:22:59.243975: CPU 23%, Temp 45.2°C, Load 1.9, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:04.244967: CPU 25%, Temp 44.6°C, Load 1.9, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:09.246026: CPU 25%, Temp 44.6°C, Load 1.8, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:14.247011: CPU 19%, Temp 44.6°C, Load 1.8, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:19.247933: CPU 16%, Temp 44.6°C, Load 1.8, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:24.248902: CPU 12%, Temp 45.2°C, Load 1.8, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:29.249902: CPU 11%, Temp 45.2°C, Load 1.9, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:34.251051: CPU 20%, Temp 45.2°C, Load 1.8, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:39.252216: CPU 13%, Temp 45.8°C, Load 1.7, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:44.253339: CPU 25%, Temp 47.4°C, Load 1.7, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:49.255032: CPU 25%, Temp 46.3°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:54.256350: CPU 26%, Temp 46.3°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:23:59.257289: CPU 24%, Temp 46.3°C, Load 1.5, V:N/A, P:N/A
✅ 2025-07-21T17:24:04.258332: CPU 26%, Temp 46.9°C, Load 1.5, V:N/A, P:N/A
⚠️ 2025-07-21T17:24:09.259366: CPU 27%, Temp 47.4°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:24:14.260299: CPU 25%, Temp 47.4°C, Load 1.7, V:N/A, P:N/A
⚠️ 2025-07-21T17:24:19.261230: CPU 14%, Temp 47.4°C, Load 1.7, V:N/A, P:N/A
⚠️ 2025-07-21T17:24:24.262221: CPU 15%, Temp 47.4°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:24:29.263136: CPU 6%, Temp 46.9°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:24:34.264049: CPU 5%, Temp 48.0°C, Load 1.6, V:N/A, P:N/A
⚠️ 2025-07-21T17:24:39.264998: CPU 6%, Temp 48.0°C, Load 1.5, V:N/A, P:N/A
✅ 2025-07-21T17:24:44.265935: CPU 3%, Temp 48.0°C, Load 1.5, V:N/A, P:N/A
✅ 2025-07-21T17:24:49.266859: CPU 2%, Temp 47.4°C, Load 1.5, V:N/A, P:N/A
✅ 2025-07-21T17:24:54.267752: CPU 1%, Temp 48.0°C, Load 1.3, V:N/A, P:N/A
✅ 2025-07-21T17:24:59.268631: CPU 1%, Temp 49.0°C, Load 1.3, V:N/A, P:N/A
✅ 2025-07-21T17:25:04.269496: CPU 1%, Temp 48.0°C, Load 1.2, V:N/A, P:N/A
✅ 2025-07-21T17:25:09.270391: CPU 1%, Temp 49.0°C, Load 1.2, V:N/A, P:N/A
✅ 2025-07-21T17:25:14.271262: CPU 1%, Temp 49.6°C, Load 1.1, V:N/A, P:N/A
✅ 2025-07-21T17:25:19.272130: CPU 1%, Temp 48.0°C, Load 1.1, V:N/A, P:N/A
✅ 2025-07-21T17:25:24.272997: CPU 1%, Temp 49.6°C, Load 1.0, V:N/A, P:N/A
